Part No.,Name,Category,Regular Price,Selling Price,Brand,Origin,Quantity,Highlights,Description,Short Description,Delivery Days
600-HD-38-C,Hose 38mm Avaition Refuel Yellow Band,Pumping,157.3,157.3,Elaflex,Germany,0,Made in Germany; the best quality available,Hose 38mm Avaition Refuel Yellow Band,Hose 38mm,
600-HD-50-C,Hose 50mm Avaition Refuel Yellow Band,Pumping,230.53,230.53,Elaflex,Germany,0,Made in Germany; the best quality available,Hose 50mm Avaition Refuel Yellow Band,Hose 50mm,
600-TW25/,25MM TANK TRUCK HOSE,Pumping,145.93,145.93,Elaflex,Germany,120,Made in Germany; the best quality available,Hose 25MM Tank Truck,Hose 25mm,2
600-TW32,32MM TANK TRUCK HOSE,Pumping,141.6,141.6,Elaflex,Germany,150.4,Made in Germany; the best quality available,Hose 32MM Tank Truck,Hose 32mm,2
600-TW38,38MM TANK TRUCK HOSE,Pumping,155.09,155.09,Elaflex,Germany,225.5,Made in Germany; the best quality available,Hose 38MM Tank Truck,Hose 38mm,2
600-TW50,50MM TANK TRUCK HOSE WITH HELIX,Pumping,162.17,162.17,Elaflex,Germany,63.5,Made in Germany; the best quality available,Hose 50MM Tank Truck,Hose 50mm,2
600-TW63,63MM TANK TRUCK HOSE,Pumping,216.5815,216.5815,Elaflex,Germany,50,Made in Germany; the best quality available,Hose 63MM Tank Truck,"Hose 63mm ",2
600-ZVA25.1,Nozzle auto 25.1 w/out hook guard **,Pumping,453.67525,453.67525,Elaflex,Germany,0,Made in Germany; the best quality available,Nozzle auto 25.1 w/out hook guard **,Nozzle auto,
600-ZVA25.4,Nozzle Auto 25.4 with Hook Guard BLACK covers,Pumping,791.817,791.817,Elaflex,Germany,8,Made in Germany; the best quality available,Nozzle Auto 25.4 with Hook Guard BLACK covers,Nozzle Auto,2
600-ZVA32.44,Nozzle 32.44mm Hiflo Auto,Pumping,1279.38,1279.38,Elaflex,Germany,14,Made in Germany; the best quality available,Nozzle 32.44mm Hiflo Auto,Nozzle 32.44mm,2
700-DPS-1202,Battery Master Switch 12V DPDT GEN 2,Chassis,1518.92,1518.92,Baxters,Germany,1,Made in Germany; the best quality available,Battery Master Switch 12V DPDT GEN 2,Battery Master,2
700-DPS-1202PP,Battery Master Switch 12V GEN 2 Dual Positive,Chassis,1730.1,1730.1,Baxters,Germany,2,Made in Germany; the best quality available,Battery Master Switch 12V GEN 2 Dual Positive,Battery Master,2
700-DPS-2402,Battery Master Switch 24V DPDT GEN 2,Chassis,1564.91,1564.91,Baxters,Germany,2,Made in Germany; the best quality available,Battery Master Switch 24V DPDT GEN 2,Battery Master,2
700-TSW12K,Battery Masterswitch T Switch 12V POS/ NEG,Chassis,0,0,Baxters,Germany,0,Made in Germany; the best quality available,Battery Masterswitch T Switch 12V POS/ NEG,Battery Masterswitch,
700-TSW12PK,Battery Masterswitch T Switch 12V POS/ POS,Chassis,0,0,Baxters,Germany,0,Made in Germany; the best quality available,Battery Masterswitch T Switch 12V POS/ POS,Battery Masterswitch,
700-TSW24K,Battery Masterswitch T Switch 24V POS/ NEG,Chassis,1539.6167,1539.6167,Baxters,Germany,3,Made in Germany; the best quality available,Battery Masterswitch T Switch 24V POS/ NEG,Battery Masterswitch,2
700-VRD-12-24,Roll Over Device IROS,Chassis,1013.46,1013.46,Baxters,Germany,6,Made in Germany; the best quality available,Roll Over Device IROS,Roll Over,2
727-700-15SP11AL,"Meter 1.5-Air E, Mec Reg, Pre",Pumping,0.01025,0.01025,TCS,America,0,Made in America; great quality; resonable price,Meter 1.5-Air E; Mec Reg; Pre,Meter 1.5,
727-700-15SP4CXA,Meter 1.5- SP incl. Air Elim,Pumping,4064.945,4064.945,TCS,America,0,Made in America; great quality; resonable price,Meter 1.5- SP incl. Air Elim,Meter 1.5,
727-700-15SP4GXA,Meter 1.5-TCS3000 Reg & Pulsar,Pumping,0.01025,0.01025,TCS,America,0,Made in America; great quality; resonable price,Meter 1.5-TCS3000 Reg & Pulsar,Meter 1.5,
727-700-20SP10BX,"Meter 2"" Air Elim & Preset (NO Register or Pulsar)",Pumping,11482,11482,TCS,America,0,Made in America; great quality; resonable price,"Meter 2"" Air Elim & Preset (NO Register or Pulsar)","Meter 2"" ",
727-700-20SP10SG,"Meter 2"" All Electronic 24V- 655 Preset",Pumping,15779.86,15779.86,TCS,America,7,Made in America; great quality; resonable price,"Meter 2"" All Electronic 24V- 655 Preset","Meter 2"" ",2
727-700-20SP11AL,"Meter 2- Air E, Mec Reg, Pre",Pumping,9881,9881,TCS,America,0,Made in America; great quality; resonable price,Meter 2- Air E; Mec Reg; Pre,"Meter 2""",
727-700-20SP4CXA,"Meter 2 SP incl. Air Elim,",Pumping,5397.21,5397.21,TCS,America,0,Made in America; great quality; resonable price,Meter 2 SP incl. Air Elim;,"Meter 2""",
727-700-20SP4GA,"Meter 2"" TCS3000 Reg Pulsar Air Elim Air Check",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Meter 2"" TCS3000 Reg Pulsar Air Elim Air Check","Meter 2"" ",
727-700-20SP4GXA,Meter 2 TCS3000 Reg &Pulsar,Pumping,10432.532,10432.532,TCS,America,0,Made in America; great quality; resonable price,Meter 2 TCS3000 Reg &Pulsar,"Meter 2""",
727-700-20SS10SGD,"Meter 2"" SS All Electronic 24V - 655 Preset",Pumping,21454.32,21454.32,TCS,America,0,Made in America; great quality; resonable price,"Meter 2"" SS All Electronic 24V - 655 Preset","Meter 2""",
727-700-25SPA10AL,"Meter 2.5- Air E,Mec Reg, Pre",Pumping,7318.91,7318.91,TCS,America,0,Made in America; great quality; resonable price,Meter 2.5- Air E;Mec Reg; Pre,"Meter 2.5""",
727-700-25SPA10BX,"Meter 2.5"" Air Elim & Preset (NO Register or Pulsar)",Pumping,11910.37,11910.37,TCS,America,0,Made in America; great quality; resonable price,"Meter 2.5"" Air Elim & Preset (NO Register or Pulsar)","Meter 2.5"" ",
727-700-25SPA10SF,"Meter 2"" with TCS 3000 mounted 90 deg",Pumping,14293.55325,14293.55325,TCS,America,0,Made in America; great quality; resonable price,"Meter 2"" with TCS 3000 mounted 90 deg","Meter 2"" ",
727-700-25SPA10SG,"Meter 2.5"" All Electronic 24V-655 Preset",Pumping,16345.58,16345.58,TCS,America,4,Made in America; great quality; resonable price,"Meter 2.5"" All Electronic 24V-655 Preset","Meter 2.5""",2
727-700-25SPA2DX,Meter Element only 700 Rotary 150GPM(567 LPM),Pumping,5337.83,5337.83,TCS,America,0,Made in America; great quality; resonable price,Meter Element only 700 Rotary 150GPM(567 LPM),Meter Element,
727-700-25SPA4CXA,Meter 2.5 SP incl. Air Elim,Pumping,5986.7,5986.7,TCS,America,0,Made in America; great quality; resonable price,Meter 2.5 SP incl. Air Elim,"Meter 2.5""",
727-700-25SPA4GA,"Meter 2.5"" TCS3000 Reg Pulsar Air Elim Air Check",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Meter 2.5"" TCS3000 Reg Pulsar Air Elim Air Check","Meter 2.5"" ",
727-700-25SPA4GXA,Meter 2.5 TCS3000 Reg &Pulsar,Pumping,11408.045,11408.045,TCS,America,0,Made in America; great quality; resonable price,Meter 2.5 TCS3000 Reg &Pulsar,"Meter 2.5""",
727-700-30SP10SG,"Meter 3"" All Electronic 24V- 655 Preset",Pumping,19582.97,19582.97,TCS,America,8,Made in America; great quality; resonable price,"Meter 3"" All Electronic 24V- 655 Preset","Meter 3"" ",2
727-700-30SP11AL,"Meter 3- Air E, Mec Reg, Pre",Pumping,10565.83325,10565.83325,TCS,America,0,Made in America; great quality; resonable price,Meter 3- Air E; Mec Reg; Pre,"Meter 3""",
727-700-30SP2CX,"Meter 3"" Centre Element Only 700 Rotary 200GPM (760LPM)",Pumping,7467.55,7467.55,TCS,America,0,Made in America; great quality; resonable price,"Meter 3"" Centre Element Only 700 Rotary 200GPM (760LPM)","Meter 3"" ",
727-700-30SP4CXA,Meter 3 SP incl. Air Elim,Pumping,9248.99525,9248.99525,TCS,America,0,Made in America; great quality; resonable price,Meter 3 SP incl. Air Elim,"Meter 3""",
727-700-30SP4GA,"Meter 3"" TCS3000 Reg Pulsar Air Elim Air Check",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Meter 3"" TCS3000 Reg Pulsar Air Elim Air Check","Meter 3"" ",
727-700-30SP4GXA,Meter 3 TCS3000 Reg & Pulsar,Pumping,14031.07125,14031.07125,TCS,America,0,Made in America; great quality; resonable price,Meter 3 TCS3000 Reg & Pulsar,"Meter 3""",
727-700-35SP4GXA,Meter 3.5 TCS3000 Reg & Pulsar,Pumping,13333.26,13333.26,TCS,America,0,Made in America; great quality; resonable price,Meter 3.5 TCS3000 Reg & Pulsar,"Meter 3.5""",
727-700-35SPA10BX,"Meter 3"" Air Elim & Preset (NO Register or Pulsar)",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Meter 3"" Air Elim & Preset (NO Register or Pulsar)","Meter 3""",
727-700-35SPA10SG,"Meter 3.5"" All Electronic 24V- 655 Preset",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Meter 3.5"" All Electronic 24V- 655 Preset","Meter 3.5""",
727-700-739-SP24,Air Eliminator Assembly Elec Float,Pumping,2438.85,2438.85,TCS,America,1,Made in America; great quality; resonable price,Air Eliminator Assembly Elec Float,Air Eliminator,2
727-700-74820SP24,"Strainer 2""SP & EAE 24V Float",Pumping,0,0,TCS,America,0,Made in America; great quality; resonable price,"Strainer 2""SP & EAE 24V Float","Strainer 2""SP",
727-700-765-20BSP,Air Check Valve Assembly 700-25,Pumping,1553.52,1553.52,TCS,America,1,Made in America; great quality; resonable price,Air Check Valve Assembly 700-25,Air Check,2
727-REG61N1XEXX31,Register Remote Electronic TCS3000,Pumping,7324.72615,7324.72615,TCS,America,4,Made in America; great quality; resonable price,Register Remote Electronic TCS3000,Register Remote,2
727-TCS-300112,Terminal Board Register TCS3000,Pumping,1595.5,1595.5,TCS,America,4,Made in America; great quality; resonable price,Terminal Board Register TCS3000,Terminal Board,2
727-TCS-300160,Pulser Register TCS3000,Pumping,1171.73,1171.73,TCS,America,2,Made in America; great quality; resonable price,Pulser Register TCS3000,Pulser Register,2
767-4677,Vane-PT20,Pumping,130.43,130.43,Corken,America,12,Made in America; great quality; resonable price,Vane-PT20,Vane-PT,2
767-4680-X,Strainer Assembly PT30,Pumping,0,0,Corken,America,1,Made in America; great quality; resonable price,Strainer Assembly PT30,Strainer Assembly,2
767-4681,Strainer Basket PT30,Pumping,0,0,Corken,America,2,Made in America; great quality; resonable price,Strainer Basket PT30,Strainer Basket,2
767-4684-X,Strainer Assembly PT20,Pumping,0,0,Corken,America,10,Made in America; great quality; resonable price,Strainer Assembly PT20,Strainer Assembly,
767-4688,AOV Flange Gasket PT20,Pumping,0,0,Corken,America,6,Made in America; great quality; resonable price,AOV Flange Gasket PT20,AOV Flange,2
767-4689-X,Strainer Assemby PT25,Pumping,0,0,Corken,America,9,Made in America; great quality; resonable price,Strainer Assemby PT25,Strainer Assemby,
767-4690,Strainer Basket PT25,Pumping,0,0,Corken,America,2,Made in America; great quality; resonable price,Strainer Basket PT25,Strainer Basket,2
767-4696,Vane-PT25,Pumping,178.47,178.47,Corken,America,10,Made in America; great quality; resonable price,Vane-PT25,Vane-PT,2
767-4757,Air Oper Valve Spring PTH25,Pumping,86.89,86.89,Corken,America,6,Made in America; great quality; resonable price,Air Oper Valve Spring PTH25,Valve - Air OP,2
767-4765,Relief Valve spring (50-75psi),Pumping,57.41025,57.41025,Corken,America,7,Made in America; great quality; resonable price,Relief Valve spring (50-75psi),Relief Valve,2
767-4769-X1D2,Repair Kit PT30 Viton,Pumping,2449.83,2449.83,Corken,America,3,Made in America; great quality; resonable price,Repair Kit PT30 Viton,Repair Kit,2
767-4770-X1D2,Repair Kit PT25 Viton,Pumping,2791.04,2791.04,Corken,America,2,Made in America; great quality; resonable price,Repair Kit PT25 Viton,Repair Kit,2
767-4771-X1D2,Repair Kit PT20 Viton,Pumping,2148.38,2148.38,Corken,America,3,Made in America; great quality; resonable price,Repair Kit PT20 Viton,Repair Kit,2
767-4899-X1,Hydraulic Adapter - PT20/PT25,Pumping,831.71575,831.71575,Corken,America,6,Made in America; great quality; resonable price,Hydraulic Adapter - PT20/PT25,Hydraulic Adapter,2
767-5462-1XA,Air Oper Valve Assy PT25,Pumping,2386.47,2386.47,Corken,America,4,Made in America; great quality; resonable price,Air Oper Valve Assy PT25,Valve Assy,2
767-5466-X,Air Oper Valve Assy PT25 (Diaphragm ONLY),Pumping,2235.05,2235.05,Corken,America,8,Made in America; great quality; resonable price,Air Oper Valve Assy PT25 (Diaphragm ONLY),Valve Assy,2
767-5470-1XA,Air Oper Valve Assy - PT20,Pumping,1236.11,1236.11,Corken,America,3,Made in America; great quality; resonable price,Air Oper Valve Assy - PT20,Valve Assy,2
767-5566-XA,Air Oper Valve Assy PT30,Pumping,1541.58,1541.58,Corken,America,4,Made in America; great quality; resonable price,Air Oper Valve Assy PT30,Valve Assy,2
767-5588,Vane - PT30,Pumping,281.47,281.47,Corken,America,10,Made in America; great quality; resonable price,Vane - PT30,Vane - PT,2
767-PTH20NS2D2XX,"Petroleum Pump 2"" NO STRAINER",Pumping,11629.92,11629.92,Corken,America,9,Made in America; great quality; resonable price,"Petroleum Pump 2"" NO STRAINER",Petroleum Pump,2
767-PTH20SS2D2XX,"Petroleum Pump 2"" W/ STRAINER",Pumping,0,0,Corken,America,0,Made in America; great quality; resonable price,"Petroleum Pump 2"" W/ STRAINER",Petroleum Pump,
767-PTH25NA2D2XX,"Petroleum Pump 2.5"" NO STRAINER",Pumping,8504.69,8504.69,Corken,America,7,Made in America; great quality; resonable price,"Petroleum Pump 2.5"" NO STRAINER",Petroleum Pump,2
767-PTH25SA2D2XX,"Petroleum Pump 2.5"" W/ STRAINER",Pumping,0,0,Corken,America,0,Made in America; great quality; resonable price,"Petroleum Pump 2.5"" W/ STRAINER",Petroleum Pump,
767-PTH30NA2D2XX,"Diesel Pump 3"" NO STRAINER",Pumping,11029.14,11029.14,Corken,America,7,Made in America; great quality; resonable price,"Diesel Pump 3"" NO STRAINER",Diesel Pump,2
767-PTH30SA2D2XX,"Diesel Pump 3"" W/ STRAINER",Pumping,0,0,Corken,America,0,Made in America; great quality; resonable price,"Diesel Pump 3"" W/ STRAINER",Diesel Pump,
769-RA-228MHHFRVY-XXXB,"3"" Rotary Gear Pump 180°",Pumping,5194.2,5194.2,Ranger Pumps,America,2,Made in America; great quality; resonable price,"3"" Rotary Gear Pump 180°","3"" Rotary Gear pump",2
769-RA-229MHHFRVY-XXXB,"3"" Rotary Gear Pump 90°",Pumping,0,0,Ranger Pumps,America,0,Made in America; great quality; resonable price,"3"" Rotary Gear Pump 90°","3"" Rotary Gear pump",
777-11550,Nose Cone 891,Tank,305.74,305.74,Civacon,America,10,Made in America; great quality; resonable price,Nose Cone 891,Nose Cone,2
777-1711T,Cap - VR,Tank,170.49,170.49,Civacon,America,19,Made in America; great quality; resonable price,Cap - VR,Cap - VR,2
777-301,Valve - Interlock Assy,Tank,227.76,227.76,Civacon,America,12,Made in America; great quality; resonable price,Valve - Interlock Assy,Valve - Interlock,2
777-5650U-12,Probe sensor 2 wire quick start-12 Civastar,Tank,536.18,536.18,Civacon,America,15,Made in America; great quality; resonable price,Probe sensor 2 wire quick start-12 Civastar,Probe sensor,2
777-5650U-7,Probe Sensor 2 wire quick start - 7 Civastar,Tank,586.13,586.13,Civacon,America,25,Made in America; great quality; resonable price,Probe Sensor 2 wire quick start - 7 Civastar,Probe Sensor,2
777-60AS,Titefill Elbow - 4,Delivery,1430.84,1430.84,Civacon,America,7,Made in America; great quality; resonable price,Titefill Elbow - 4,Titefill Elbow,2
777-60ASM,Titefill Elbow w/ Locking Blocks - Modified,Delivery,1245.805,1245.805,Civacon,America,17,Made in America; great quality; resonable price,Titefill Elbow w/ Locking Blocks - Modified,Titefill Elbow,2
777-633CPP-4030,Vapour Coupler w/poppet 4x3_,Delivery,899.23,899.23,Civacon,America,7,Made in America; great quality; resonable price,Vapour Coupler w/poppet 4x3_,Vapour Coupler,2
777-633LVB-301,Vapour Recovery 4 Adaptor W I,Delivery,1498.23,1498.23,Civacon,America,6,Made in America; great quality; resonable price,Vapour Recovery 4 Adaptor W I,Vapour Recovery,2
777-871A-AL40,Gravity Coupler - 4,Delivery,436.78,436.78,Civacon,America,17,Made in America; great quality; resonable price,Gravity Coupler - 4,Gravity Coupler,2
777-875C,Cap - API - Alloy,Delivery,259.4,259.4,Civacon,America,71,Made in America; great quality; resonable price,Cap - API - Alloy,Cap - API,2
777-891A,API Bottom Load Adaptor - 4,Delivery,1729.37,1729.37,Civacon,America,26,Made in America; great quality; resonable price,API Bottom Load Adaptor - 4,API Coupler,2
777-GS1000,Ground Bolt Kit Civacon,Tank,206.04,206.04,Civacon,America,32,Made in America; great quality; resonable price,Ground Bolt Kit Civacon,Ground Bolt,2
777-GS1002,Ground Ball Kit Civacon,Tank,282.601,282.601,Civacon,America,6,Made in America; great quality; resonable price,Ground Ball Kit Civacon,Ground Ball,
777-HBV-4221,ButterFly Valve Hybrid 12 inch Handle - TTMA Viton,Pumping,595.93,595.93,Civacon,America,4,Made in America; great quality; resonable price,ButterFly Valve Hybrid 12 inch Handle - TTMA Viton,ButterFly Valve,2
777-HBV-4223,ButterFly Valve Hybrid 8 inch Handle - TTMA Viton,Pumping,808.56,808.56,Civacon,America,4,Made in America; great quality; resonable price,ButterFly Valve Hybrid 8 inch Handle - TTMA Viton,ButterFly Valve,2
778-EURO100-1/,"Internal Valve 4""",Tank,1146.65,1146.65,OPW,Europe,15,European manufacture; great quality,"Internal Valve 4""",Internal Valve,2
778-EURO100-2,"Internal Valve 4"" (low profile)",Tank,1236.1,1236.1,OPW,Europe,4,European manufacture; great quality,"Internal Valve 4"" (low profile)",Internal Valve,2
789-3630-0122-BSP,Swivel Aluminium 1 1/4 inch viton,Pumping,1399.07,1399.07,OPW,Europe,10,European manufacture; great quality,Swivel Aluminium 1 1/4 inch viton,Swivel Aluminium,2
789-3630-0152-BSP-790,Swivel Aluminium 1 1/2 inch Viton,Pumping,1574.82,1574.82,OPW,Europe,9,European manufacture; great quality,Swivel Aluminium 1 1/2 inch Viton,Swivel Aluminium,2
789-3630-0202-BSP,Swivel Aluminium 2 inch Viton,Pumping,920.5115,920.5115,OPW,Europe,0,European manufacture; great quality,Swivel Aluminium 2 inch Viton,Swivel Aluminium,
789-3630-0202-BSP-790,"Swivel Aluminium 2"" Viton Seals",Pumping,1629.55,1629.55,OPW,Europe,9,European manufacture; great quality,"Swivel Aluminium 2"" Viton Seals",Swivel Aluminium,2
789-3630-0202-BSP-R,"Swivel Aluminium 2"" Viton *Rpr*",Pumping,1429.055,1429.055,OPW,Europe,2,European manufacture; great quality,"Swivel Aluminium 2"" Viton *Rpr*",Swivel Aluminium,2
790-190-0113-LIQ,Nozzle Manual 32mm with spout,Pumping,0,0,OPW,Europe,3,European manufacture; great quality,Nozzle Manual 32mm with spout,Nozzle Manual,2
790-190-0113/,Nozzle Manual 32mm w/o spout,Pumping,734.221,734.221,OPW,Europe,6,European manufacture; great quality,Nozzle Manual 32mm w/o spout,Nozzle,2
